method,m,time_sec,rel_err
FalkonGPU,100,3.5417048931121826,0.3266047540049199
FalkonGPU,189,0.990196943283081,0.2941290008717584
FalkonGPU,359,1.2099905014038086,0.26537725854272787
FalkonGPU,681,1.8894519805908203,0.24586506045106454
FalkonGPU,1291,2.9106662273406982,0.22307790519639054
FalkonGPU,2448,5.2469542026519775,0.20738778741275557
FalkonGPU,4641,10.187479496002197,0.19178054798588853
FalkonGPU,8799,22.97813081741333,0.17837133799543814
FalkonGPU,16681,61.40096378326416,0.16643968302871048
FalkonGPU,31622,115.65017318725586,0.1584762016490571
SVGP-GPyTorch,100,34.334638357162476,0.2546198085151409
SVGP-GPyTorch,129,49.702965259552,0.2417684634857938
SVGP-GPyTorch,166,64.46845507621765,0.23320156490718827
SVGP-GPyTorch,215,90.8160994052887,0.2174193153326668
SVGP-GPyTorch,278,134.05222749710083,0.22758573429065768
SVGP-GPyTorch,359,177.92613983154297,0.20744373445465877
SVGP-GPyTorch,464,254.97930192947388,0.19520696937444337
SVGP-GPyTorch,599,372.96893525123596,0.19545612106643184
SVGP-GPyTorch,774,543.5428204536438,0.19823516151194226
SVGP-GPyTorch,1000,791.8407490253448,0.19830040200061727
